,entry,exit,position,asset
324,2012-08-23,2012-11-12,1,"('SK네트웍스', 'SK네트웍스우')"
325,2012-08-24,2012-09-13,1,"('아모레퍼시픽', '아모레퍼시픽우')"
326,2012-08-27,2012-09-24,1,"('호텔신라', '호텔신라우')"
327,2012-08-29,2012-10-23,1,"('LG화학', 'LG화학우')"
328,2012-08-29,2012-11-26,1,"('JW중외제약', 'JW중외제약우')"
329,2012-09-05,2012-10-04,1,"('CJ', 'CJ우')"
330,2012-09-10,2013-02-05,1,"('LG', 'LG우')"
331,2012-09-13,2012-09-28,1,"('대한항공', '대한항공우')"
332,2012-09-13,2012-12-24,1,"('LG전자', 'LG전자우')"
333,2012-09-14,2012-11-27,1,"('유한양행', '유한양행우')"
334,2012-09-14,2013-03-15,1,"('NH투자증권', 'NH투자증권우')"
335,2012-09-17,2013-03-11,1,"('금호석유', '금호석유우')"
336,2012-09-20,2012-10-29,1,"('DB하이텍', 'DB하이텍1우')"
337,2012-10-05,2012-10-11,1,"('현대차', '현대차우')"
338,2012-10-09,2013-02-08,1,"('CJ제일제당', 'CJ제일제당 우')"
339,2012-10-12,2013-01-23,1,"('LG생활건강', 'LG생활건강우')"
340,2012-10-31,2012-11-07,1,"('삼성화재', '삼성화재우')"
341,2012-11-02,2013-03-18,1,"('현대건설', '현대건설우')"
342,2012-11-06,2013-01-02,1,"('GS', 'GS우')"
343,2012-11-21,2012-12-06,1,"('삼성SDI', '삼성SDI우')"
344,2012-11-26,2013-01-08,1,"('넥센타이어', '넥센타이어1우B')"
345,2012-11-30,2013-02-05,1,"('한국금융지주', '한국금융지주우')"
346,2012-12-03,2012-12-18,1,"('삼성화재', '삼성화재우')"
347,2012-12-05,2013-03-15,1,"('CJ', 'CJ우')"
348,2012-12-06,2013-02-04,1,"('S-Oil', 'S-Oil우')"
349,2012-12-11,2013-03-28,1,"('한화솔루션', '한화솔루션우')"
350,2012-12-12,2013-01-15,1,"('미래에셋증권', '미래에셋증권우')"
351,2012-12-12,2013-02-05,1,"('LG화학', 'LG화학우')"
352,2012-12-12,2013-03-15,1,"('한화', '한화우')"
353,2012-12-13,2013-02-04,1,"('삼성전자', '삼성전자우')"
354,2012-12-13,2013-08-13,1,"('JW중외제약', 'JW중외제약우')"
355,2012-12-14,2013-01-24,1,"('SK네트웍스', 'SK네트웍스우')"
356,2012-12-18,2013-03-20,1,"('삼성SDI', '삼성SDI우')"
357,2012-12-18,2013-04-12,1,"('삼성전기', '삼성전기우')"
358,2012-12-24,2013-01-28,1,"('아모레G', '아모레G우')"
359,2012-12-27,2013-01-15,1,"('SK이노베이션', 'SK이노베이션우')"
360,2012-12-27,2013-01-25,1,"('현대차', '현대차우')"
361,2012-12-27,2013-02-08,1,"('유한양행', '유한양행우')"
362,2013-01-02,2013-02-27,1,"('대한항공', '대한항공우')"
363,2013-01-03,2013-04-01,1,"('대상', '대상우')"
364,2013-01-25,2013-03-15,1,"('삼성화재', '삼성화재우')"
365,2013-01-28,2013-04-05,1,"('호텔신라', '호텔신라우')"
366,2013-02-20,2013-03-20,1,"('LG생활건강', 'LG생활건강우')"
367,2013-02-21,2013-04-02,1,"('넥센타이어', '넥센타이어1우B')"
368,2013-02-21,2013-04-05,1,"('아모레퍼시픽', '아모레퍼시픽우')"
369,2013-02-22,2013-03-20,1,"('LG', 'LG우')"
370,2013-02-22,2013-03-28,1,"('LG전자', 'LG전자우')"
371,2013-02-26,2013-04-23,1,"('삼성전자', '삼성전자우')"
372,2013-03-11,2013-05-14,1,"('유한양행', '유한양행우')"
